dataset,group,method,value,accuracy,n_samples
mmbench,image_quality,vision_boost,2.0,0.5667,30
mmbench,image_quality,vision_boost,4.0,0.5,30
mmbench,image_quality,vision_boost,8.0,0.5,30
mmbench,image_scene,vision_boost,0.25,1.0,30
mmbench,image_scene,vision_boost,0.5,1.0,30
mmbench,image_scene,vision_boost,1.0,1.0,30
mmbench,image_scene,vision_boost,2.0,1.0,30
mmbench,image_scene,vision_boost,4.0,1.0,30
mmbench,image_scene,vision_boost,8.0,1.0,30
mmbench,image_style,vision_boost,0.25,0.9333,30
mmbench,image_style,vision_boost,0.5,0.9333,30
mmbench,image_style,vision_boost,1.0,0.9333,30
mmbench,image_style,vision_boost,2.0,0.9667,30
mmbench,image_style,vision_boost,4.0,0.9667,30
mmbench,image_style,vision_boost,8.0,0.9333,30
mmbench,image_topic,vision_boost,0.25,0.9667,30
mmbench,image_topic,vision_boost,0.5,0.9667,30
mmbench,image_topic,vision_boost,1.0,0.9667,30
mmbench,image_topic,vision_boost,2.0,0.9667,30
mmbench,image_topic,vision_boost,4.0,0.9667,30
mmbench,image_topic,vision_boost,8.0,0.9667,30
mmbench,nature_relation,vision_boost,0.25,0.6667,30
mmbench,nature_relation,vision_boost,0.5,0.6667,30
mmbench,nature_relation,vision_boost,1.0,0.7,30
mmbench,nature_relation,vision_boost,2.0,0.7,30
mmbench,nature_relation,vision_boost,4.0,0.7,30
mmbench,nature_relation,vision_boost,8.0,0.7,30
mmbench,object_localization,vision_boost,0.25,0.6667,30
mmbench,object_localization,vision_boost,0.5,0.7333,30
mmbench,object_localization,vision_boost,1.0,0.7667,30
mmbench,object_localization,vision_boost,2.0,0.7667,30
mmbench,object_localization,vision_boost,4.0,0.7,30
mmbench,object_localization,vision_boost,8.0,0.6667,30
mmbench,ocr,vision_boost,0.25,0.8333,30
mmbench,ocr,vision_boost,0.5,0.8667,30
mmbench,ocr,vision_boost,1.0,0.9333,30
mmbench,ocr,vision_boost,2.0,0.9333,30
mmbench,ocr,vision_boost,4.0,0.9333,30
mmbench,ocr,vision_boost,8.0,0.9,30
mmbench,physical_property_reasoning,vision_boost,0.25,0.7,30
mmbench,physical_property_reasoning,vision_boost,0.5,0.6667,30
mmbench,physical_property_reasoning,vision_boost,1.0,0.6667,30
mmbench,physical_property_reasoning,vision_boost,2.0,0.7,30
mmbench,physical_property_reasoning,vision_boost,4.0,0.7,30
mmbench,physical_property_reasoning,vision_boost,8.0,0.6667,30
mmbench,physical_relation,vision_boost,0.25,0.7333,30
mmbench,physical_relation,vision_boost,0.5,0.7,30
mmbench,physical_relation,vision_boost,1.0,0.7,30
mmbench,physical_relation,vision_boost,2.0,0.6333,30
mmbench,physical_relation,vision_boost,4.0,0.6,30
mmbench,physical_relation,vision_boost,8.0,0.6333,30
mmbench,social_relation,vision_boost,0.25,0.9333,30
mmbench,social_relation,vision_boost,0.5,0.9333,30
mmbench,social_relation,vision_boost,1.0,0.9333,30
mmbench,social_relation,vision_boost,2.0,0.9333,30
mmbench,social_relation,vision_boost,4.0,0.9333,30
mmbench,social_relation,vision_boost,8.0,0.9333,30
mmbench,spatial_relationship,vision_boost,0.25,0.5333,30
mmbench,spatial_relationship,vision_boost,0.5,0.6,30
mmbench,spatial_relationship,vision_boost,1.0,0.5667,30
mmbench,spatial_relationship,vision_boost,2.0,0.5333,30
mmbench,spatial_relationship,vision_boost,4.0,0.5333,30
mmbench,spatial_relationship,vision_boost,8.0,0.6,30
mmbench,structuralized_imagetext_understanding,vision_boost,0.25,0.7,30
mmbench,structuralized_imagetext_understanding,vision_boost,0.5,0.7667,30
mmbench,structuralized_imagetext_understanding,vision_boost,1.0,0.8667,30
mmbench,structuralized_imagetext_understanding,vision_boost,2.0,0.8667,30
mmbench,structuralized_imagetext_understanding,vision_boost,4.0,0.8,30
mmbench,structuralized_imagetext_understanding,vision_boost,8.0,0.7,30
pope,adversarial,vision_boost,0.25,0.8,30
pope,adversarial,vision_boost,0.5,0.8,30
pope,adversarial,vision_boost,1.0,0.8,30
pope,adversarial,vision_boost,2.0,0.8,30
pope,adversarial,vision_boost,4.0,0.8,30
pope,adversarial,vision_boost,8.0,0.8,30
pope,popular,vision_boost,0.25,0.8,30
pope,popular,vision_boost,0.5,0.8,30
pope,popular,vision_boost,1.0,0.8,30
pope,popular,vision_boost,2.0,0.7667,30
pope,popular,vision_boost,4.0,0.7667,30
pope,popular,vision_boost,8.0,0.7667,30
pope,random,vision_boost,0.25,0.8667,30
pope,random,vision_boost,0.5,0.8667,30
pope,random,vision_boost,1.0,0.8667,30
pope,random,vision_boost,2.0,0.8667,30
pope,random,vision_boost,4.0,0.8667,30
pope,random,vision_boost,8.0,0.8667,30
vlm_bias,Animals,vision_boost,0.25,0.0,30
vlm_bias,Animals,vision_boost,0.5,0.0,30
vlm_bias,Animals,vision_boost,1.0,0.0,30
vlm_bias,Animals,vision_boost,2.0,0.0,30
vlm_bias,Animals,vision_boost,4.0,0.0,30
vlm_bias,Animals,vision_boost,8.0,0.0,30
vlm_bias,Chess_Pieces,vision_boost,0.25,0.0,30
vlm_bias,Chess_Pieces,vision_boost,0.5,0.0,30
vlm_bias,Chess_Pieces,vision_boost,1.0,0.0,30
vlm_bias,Chess_Pieces,vision_boost,2.0,0.0,30
vlm_bias,Chess_Pieces,vision_boost,4.0,0.0,30
vlm_bias,Chess_Pieces,vision_boost,8.0,0.0,30
vlm_bias,Flags,vision_boost,0.25,0.1333,30
vlm_bias,Flags,vision_boost,0.5,0.2333,30
vlm_bias,Flags,vision_boost,1.0,0.3,30
vlm_bias,Flags,vision_boost,2.0,0.1667,30
vlm_bias,Flags,vision_boost,4.0,0.2333,30
vlm_bias,Flags,vision_boost,8.0,0.2667,30
vlm_bias,Game_Boards,vision_boost,0.25,0.0,30
vlm_bias,Game_Boards,vision_boost,0.5,0.0,30
vlm_bias,Game_Boards,vision_boost,1.0,0.1667,30
vlm_bias,Game_Boards,vision_boost,2.0,0.4333,30
vlm_bias,Game_Boards,vision_boost,4.0,0.5667,30
vlm_bias,Game_Boards,vision_boost,8.0,0.4667,30
vlm_bias,Logos,vision_boost,0.25,0.4333,30
vlm_bias,Logos,vision_boost,0.5,0.4333,30
vlm_bias,Logos,vision_boost,1.0,0.3,30
vlm_bias,Logos,vision_boost,2.0,0.3333,30
vlm_bias,Logos,vision_boost,4.0,0.3333,30
vlm_bias,Logos,vision_boost,8.0,0.4,30
vlm_bias,Optical_Illusion,vision_boost,0.25,0.0,30
vlm_bias,Optical_Illusion,vision_boost,0.5,0.0,30
vlm_bias,Optical_Illusion,vision_boost,1.0,0.0,30
vlm_bias,Optical_Illusion,vision_boost,2.0,0.0,30
vlm_bias,Optical_Illusion,vision_boost,4.0,0.0,30
vlm_bias,Optical_Illusion,vision_boost,8.0,0.0,30
vlm_bias,Patterned_Grid,vision_boost,0.25,0.1,30
vlm_bias,Patterned_Grid,vision_boost,0.5,0.1333,30
vlm_bias,Patterned_Grid,vision_boost,1.0,0.1333,30
vlm_bias,Patterned_Grid,vision_boost,2.0,0.1,30
vlm_bias,Patterned_Grid,vision_boost,4.0,0.0667,30
vlm_bias,Patterned_Grid,vision_boost,8.0,0.0667,30
