commit	accuracy	status	description
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: [Errno 2] No such file or directory: '$HOME/miniconda3/envs/mllm/bin/python'
dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:
  Loading POPE (adversarial, n=100, seed=42)…
  → 100 samples loaded

  Loading llava-hf/llava-1.5-7b-hf…
  → Model loaded in 5.4s
  [SRF] Mode: prob_scale, boost=3.0
  [SRF] Layers: 10-14, saliency=clip

  Running evaluation (100 samples)…
    [1/100] ETA: 0s…

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:
  Loading POPE (adversarial, n=100, seed=42)…
  → 100 samples loaded

  Loading llava-hf/llava-1.5-7b-hf…
  → Model loaded in 4.6s
  [SRF] Mode: prob_scale, boost=3.0
  [SRF] Layers: 10-14, saliency=clip

  Running evaluation (100 samples)…
    [1/100] ETA: 0s…

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:
  Loading POPE (adversarial, n=100, seed=42)…
  → 100 samples loaded

  Loading llava-hf/llava-1.5-7b-hf…
  → Model loaded in 5.6s
  [SRF] Mode: prob_scale, boost=3.0
  [SRF] Layers: 10-14, saliency=clip

  Running evaluation (100 samples)…
    [1/100] ETA: 0s…

dcb132e	0.4800	discard	L10-16_prob_interp_a3.0_top40_grid7_beta0.15
dcb132e	0.4800	discard	L8-15_prob_interp_a2.0_top20_grid9_beta0.1
dcb132e	0.4800	discard	L9-16_prob_scale_a1.5_top40_grid9_beta0.0
dcb132e	0.4800	discard	L8-14_prob_interp_a2.5_top20_grid7_beta0.15
dcb132e	0.4800	discard	L10-14_prob_scale_a1.5_top30_grid5_beta0.1
dcb132e	0.4800	discard	L8-16_additive_logit_a2.5_top30_grid5_beta0.0
dcb132e	0.4800	discard	L9-16_prob_scale_a2.0_top20_grid5_beta0.15
dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:
  Loading POPE (adversarial, n=100, seed=42)…
  → 100 samples loaded

  Loading llava-hf/llava-1.5-7b-hf…
  → Model loaded in 5.5s
  [SRF] Mode: prob_scale, boost=3.0
  [SRF] Layers: 10-14, saliency=clip

  Running evaluation (100 samples)…
    [1/100] ETA: 0s…
  [clip_salience] Loading openai/clip-vit-base-patch32 on cpu (one-time, infers on cuda)…
    [20/100] ETA: 60s…
    [40/100] ETA: 41s…
    [60/100] ETA: 27s…

dcb132e	0.4800	discard	L8-14_prob_interp_a1.5_top20_grid9_beta0.15
dcb132e	0.4800	discard	L9-16_prob_scale_a2.0_top40_grid5_beta0.05
dcb132e	0.4800	discard	L8-16_prob_interp_a3.0_top40_grid7_beta0.1
dcb132e	0.4800	discard	L9-14_prob_scale_a3.0_top30_grid5_beta0.05
dcb132e	0.4800	discard	L8-16_prob_interp_a2.0_top20_grid5_beta0.05
dcb132e	0.4800	discard	L10-15_additive_logit_a1.5_top40_grid5_beta0.0
dcb132e	0.4800	discard	L10-15_additive_logit_a1.5_top40_grid5_beta0.05
dcb132e	0.4800	discard	L8-14_additive_logit_a3.0_top40_grid7_beta0.0
dcb132e	0.4800	discard	L9-15_prob_scale_a2.0_top30_grid9_beta0.1
dcb132e	0.4800	discard	L9-15_prob_scale_a1.0_top40_grid7_beta0.05
dcb132e	0.4800	discard	L9-16_prob_scale_a2.5_top40_grid7_beta0.1
dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.0000	crash	ERROR: Could not parse accuracy from output:

dcb132e	0.4800	discard	L9-16_prob_interp_a2.5_top40_grid9_beta0.15
dcb132e	0.4800	discard	L8-16_prob_scale_a2.0_top30_grid5_beta0.1
dcb132e	0.4800	discard	L10-15_additive_logit_a2.0_top40_grid7_beta0.1
dcb132e	0.4800	discard	L9-15_additive_logit_a3.0_top30_grid7_beta0.15
dcb132e	0.4800	discard	L8-14_prob_scale_a2.5_top20_grid9_beta0.15
dcb132e	0.4800	discard	L10-15_prob_scale_a1.5_top40_grid7_beta0.05
dcb132e	0.4800	discard	L9-15_additive_logit_a1.5_top40_grid7_beta0.15
dcb132e	0.4800	discard	L8-15_prob_scale_a1.5_top20_grid9_beta0.15
dcb132e	0.4800	discard	L10-16_prob_interp_a1.0_top20_grid9_beta0.05
dcb132e	0.4800	discard	L10-15_additive_logit_a2.5_top30_grid5_beta0.15
d654229	0.8400	NEW_BEST	L10-14_enh1.05_sup1.0
d654229	0.8400	NEW_BEST	L8-14_enh1.15_sup0.85
d654229	0.8400	keep	L8-15_enh1.05_sup0.9
d654229	0.8400	keep	L9-16_enh1.15_sup0.95
d654229	0.8400	NEW_BEST	L10-15_enh1.05_sup0.95
d654229	0.8400	keep	L8-14_enh1.3_sup0.9
d654229	0.8400	keep	L10-16_enh1.05_sup0.9
d654229	0.8400	keep	L10-16_enh1.1_sup0.95
d654229	0.8400	keep	L8-15_enh1.05_sup0.95
d654229	0.8400	keep	L9-14_enh1.2_sup0.85
d654229	0.8400	keep	L10-16_enh1.25_sup1.0
d654229	0.8400	keep	L10-15_enh1.15_sup0.95
d654229	0.8400	keep	L8-15_enh1.15_sup0.95
d654229	0.8400	keep	L10-14_enh1.15_sup0.85
d654229	0.8400	keep	L10-14_enh1.3_sup0.9
d654229	0.8400	keep	L9-14_enh1.2_sup0.85
d654229	0.8400	keep	L8-16_enh1.3_sup0.85
d654229	0.8400	keep	L10-15_enh1.1_sup0.95
d654229	0.8400	keep	L8-16_enh1.05_sup1.0
d654229	0.8400	keep	L8-15_enh1.15_sup0.9
d654229	0.8400	keep	L10-16_enh1.2_sup0.95
d654229	0.8400	keep	L9-16_enh1.1_sup0.9
d654229	0.8400	keep	L9-16_enh1.25_sup0.9
d654229	0.8400	keep	L8-16_enh1.15_sup0.85
d654229	0.8400	keep	L10-16_enh1.05_sup0.85
d654229	0.8400	keep	L10-14_enh1.2_sup0.9
d654229	0.8400	keep	L9-16_enh1.05_sup1.0
d654229	0.8400	keep	L9-15_enh1.15_sup0.95
d654229	0.8400	keep	L10-14_enh1.3_sup0.9
d654229	0.8400	keep	L8-16_enh1.15_sup0.95
d654229	0.8400	keep	L9-15_enh1.05_sup0.85
d654229	0.8400	keep	L9-14_enh1.3_sup0.95
d654229	0.8400	keep	L8-15_enh1.25_sup0.9
d654229	0.8400	keep	L9-14_enh1.15_sup0.95
d654229	0.8400	keep	L8-15_enh1.3_sup0.85
d654229	0.8400	keep	L8-15_enh1.05_sup0.85
d654229	0.8400	keep	L8-16_enh1.05_sup0.9
d654229	0.8400	keep	L8-14_enh1.1_sup0.85
d654229	0.8400	keep	L8-15_enh1.2_sup0.95
d654229	0.8400	keep	L8-16_enh1.05_sup0.9
d654229	0.8400	keep	L10-16_enh1.05_sup0.9
d654229	0.8400	keep	L10-15_enh1.2_sup0.9
d654229	0.8400	keep	L9-14_enh1.15_sup1.0
d654229	0.8400	keep	L9-16_enh1.05_sup0.85
d654229	0.8400	keep	L9-14_enh1.25_sup1.0
d654229	0.8400	keep	L8-14_enh1.2_sup0.9
d654229	0.8400	keep	L8-15_enh1.05_sup0.95
d654229	0.8400	keep	L10-15_enh1.1_sup0.95
d654229	0.8400	keep	L10-15_enh1.3_sup0.95
d654229	0.8400	keep	L10-14_enh1.25_sup0.9
d654229	0.8400	keep	L9-16_enh1.1_sup1.0
d654229	0.8400	keep	L9-15_enh1.15_sup1.0
