dataset,group,method,value,accuracy,n_samples
mmbench,attribute_comparison,vhr_boost,8.0,0.6,30
mmbench,attribute_recognition,vhr_boost,8.0,0.9667,30
mmbench,celebrity_recognition,vhr_boost,8.0,0.9667,30
mmbench,function_reasoning,vhr_boost,8.0,0.9667,30
mmbench,future_prediction,vhr_boost,8.0,0.7333,30
mmbench,identity_reasoning,vhr_boost,8.0,1.0,30
mmbench,image_emotion,vhr_boost,8.0,0.7667,30
mmbench,image_quality,vhr_boost,8.0,0.4667,30
mmbench,image_scene,vhr_boost,8.0,1.0,30
mmbench,image_style,vhr_boost,8.0,1.0,30
mmbench,image_topic,vhr_boost,8.0,0.9,30
mmbench,nature_relation,vhr_boost,8.0,0.6333,30
mmbench,object_localization,vhr_boost,8.0,0.7333,30
mmbench,ocr,vhr_boost,8.0,0.8,30
mmbench,physical_property_reasoning,vhr_boost,8.0,0.6667,30
mmbench,physical_relation,vhr_boost,8.0,0.7333,30
mmbench,social_relation,vhr_boost,8.0,0.9333,30
mmbench,spatial_relationship,vhr_boost,8.0,0.5667,30
mmbench,structuralized_imagetext_understanding,vhr_boost,8.0,0.7,30
